player_name,riot_id,region,rank,main_agent,headshot_rate,kd_ratio,matches_played
TenZ,TenZ#NA1,NA,Radiant,Jett,28.5,1.32,540
yay,yay#NA1,NA,Immortal,Chamber,26.1,1.25,610
Derke,Derke#EU1,EU,Radiant,Jett,27.8,1.29,498
Boaster,Boaster#EU1,EU,Immortal,Omen,21.4,1.05,720
f0rsakeN,f0rsakeN#AP1,APAC,Radiant,Flex,25.6,1.22,580
something,something#JP1,APAC,Immortal,Jett,29.1,1.35,450
aspas,aspas#BR1,BR,Radiant,Jett,27.3,1.31,560
Saadhak,Saadhak#BR1,BR,Immortal,Initiator,22.8,1.10,690
ScreaM,ScreaM#EU1,EU,Immortal,Reyna,30.2,1.28,510
Leo,Leo#EU1,EU,Radiant,Sova,24.7,1.18,640
